Partner ID,Tasks,Acceptance rate,Cancellation rate,Tasks not delivered,Partner Cancellation,Task Time,Interaction Rate,Contact Rate,Rating,Acceptance Rate Pass,Cancellation Rate Pass,Tasks Not Delivered Pass,Partner Cancellation Pass,Task Time Pass,Interaction Rate Pass,Contact Rate Pass,Rating Pass,Quality Score,Bucket
241336,118,87.42,1.26,0,0.72,34.81,38.98,24.58,4.75,False,True,True,True,True,True,False,True,80.0,Silver
241337,24,100.0,0.0,0,0.0,39.79,62.5,16.67,5.0,True,True,True,True,True,False,False,True,85.0,Gold
241338,9,90.91,0.0,0,0.0,40.34,22.22,0.0,4.89,True,True,True,True,True,True,True,True,100.0,Gold
241339,44,100.0,4.08,0,0.0,32.66,38.64,2.27,4.74,True,False,True,True,True,True,True,True,85.0,Gold
241340,9,64.71,5.88,0,0.0,33.17,44.44,0.0,4.4,False,False,True,True,True,False,True,False,45.0,Retraining
241341,40,95.92,4.08,0,0.0,37.29,37.5,0.0,4.68,True,False,True,True,True,True,True,False,70.0,Silver
241342,9,90.0,0.0,0,0.0,41.73,66.67,0.0,5.0,True,True,True,True,True,False,True,True,90.0,Gold
241343,97,97.22,0.0,0,0.95,18.87,30.93,6.19,4.81,True,True,True,True,True,True,True,True,100.0,Gold
241344,46,36.6,0.65,0,0.0,41.64,50.0,4.35,4.69,False,True,True,True,True,False,True,False,60.0,Retraining
241345,20,95.83,4.17,0,0.0,37.25,40.0,10.0,4.79,True,False,True,True,True,True,True,True,85.0,Gold
241346,13,88.24,0.0,0,0.0,28.72,53.85,0.0,4.83,False,True,True,True,True,False,True,True,75.0,Silver
241347,10,91.67,0.0,0,0.0,46.74,20.0,0.0,5.0,True,True,True,True,False,True,True,True,85.0,Gold
241348,121,99.23,0.0,0,0.0,19.98,48.76,0.0,4.77,True,True,True,True,True,False,True,True,90.0,Gold
241349,94,92.31,5.13,0,0.0,43.16,29.79,14.89,4.85,True,False,True,True,True,True,True,True,85.0,Gold
241350,9,100.0,0.0,0,0.0,38.84,44.44,22.22,5.0,True,True,True,True,True,False,False,True,85.0,Gold
241351,9,100.0,0.0,0,0.0,24.97,55.56,0.0,4.75,True,True,True,True,True,False,True,True,90.0,Gold
241352,2,50.0,16.67,0,11.11,38.54,0.0,0.0,5.0,False,False,True,False,True,True,True,True,60.0,Retraining
241353,55,95.52,4.48,0,0.0,38.59,36.36,0.0,4.69,True,False,True,True,True,True,True,False,70.0,Silver
241354,131,97.99,0.67,0,0.0,24.73,61.07,4.58,4.78,True,True,True,True,True,False,True,True,90.0,Gold
241355,22,83.33,0.0,0,0.0,43.84,54.55,4.55,5.0,False,True,True,True,True,False,True,True,75.0,Silver
241356,76,100.0,0.0,0,0.0,26.4,43.42,6.58,4.75,True,True,True,True,True,False,True,True,90.0,Gold
241357,41,96.0,0.0,0,0.0,50.13,46.34,31.71,4.74,True,True,True,True,False,False,False,True,70.0,Silver
241358,32,97.37,0.0,0,0.0,41.21,43.75,9.38,4.59,True,True,True,True,True,False,True,False,75.0,Silver
241359,9,100.0,0.0,0,0.0,43.24,55.56,22.22,5.0,True,True,True,True,True,False,False,True,85.0,Gold
241360,88,100.0,0.0,0,0.0,24.5,36.36,3.41,4.75,True,True,True,True,True,True,True,True,100.0,Gold
241361,37,100.0,2.56,0,0.0,48.67,21.62,5.41,4.72,True,False,True,True,False,True,True,True,70.0,Silver
241362,3,100.0,0.0,0,0.0,20.64,33.33,0.0,,True,True,True,True,True,True,True,False,85.0,Gold
