Partner ID,Week Start,Active_Days,Consistency Bonus,Month
233711,2019-04-01,2,0,2019-04
238310,2019-04-22,4,0,2019-04
238310,2019-04-29,1,0,2019-04
240387,2019-04-22,4,0,2019-04
240582,2018-12-31,5,10,2018-12
240582,2019-01-07,7,10,2019-01
240582,2019-01-14,7,10,2019-01
240582,2019-01-21,6,10,2019-01
240582,2019-01-28,2,0,2019-01
240673,2018-12-31,1,0,2018-12
240678,2018-12-31,1,0,2018-12
240711,2019-01-14,1,0,2019-01
240711,2019-01-21,1,0,2019-01
240711,2019-03-11,6,10,2019-03
240711,2019-03-18,1,0,2019-03
240711,2019-03-25,3,0,2019-03
240715,2018-12-31,2,0,2018-12
240715,2019-01-07,4,0,2019-01
240715,2019-03-11,1,0,2019-03
240743,2019-03-18,2,0,2019-03
240743,2019-04-15,4,0,2019-04
240743,2019-04-22,6,10,2019-04
240743,2019-04-29,2,0,2019-04
240748,2019-01-07,1,0,2019-01
241694,2019-03-11,1,0,2019-03
241694,2019-03-18,1,0,2019-03
241694,2019-03-25,4,0,2019-03
241694,2019-04-01,1,0,2019-04
242172,2019-01-28,6,10,2019-01
242172,2019-02-04,6,10,2019-02
242172,2019-02-11,3,0,2019-02
242172,2019-02-25,5,10,2019-02
242172,2019-03-04,1,0,2019-03
242172,2019-03-11,2,0,2019-03
242199,2019-01-21,1,0,2019-01
242199,2019-01-28,2,0,2019-01
242199,2019-02-04,2,0,2019-02
242199,2019-02-11,1,0,2019-02
242199,2019-02-18,3,0,2019-02
242199,2019-02-25,4,0,2019-02
242199,2019-03-04,1,0,2019-03
242199,2019-03-11,2,0,2019-03
242199,2019-03-25,2,0,2019-03
242199,2019-04-01,1,0,2019-04
242963,2018-12-31,1,0,2018-12
242963,2019-01-07,3,0,2019-01
242963,2019-01-21,5,10,2019-01
242963,2019-01-28,6,10,2019-01
242963,2019-02-04,7,10,2019-02
242963,2019-02-11,3,0,2019-02
243029,2019-01-07,1,0,2019-01
243186,2018-12-31,6,10,2018-12
243186,2019-01-07,7,10,2019-01
243186,2019-01-28,7,10,2019-01
243186,2019-02-04,1,0,2019-02
243186,2019-03-04,3,0,2019-03
243186,2019-03-11,7,10,2019-03
243186,2019-03-18,7,10,2019-03
243186,2019-03-25,4,0,2019-03
243186,2019-04-01,5,10,2019-04
243186,2019-04-08,1,0,2019-04
243220,2019-01-14,2,0,2019-01
243220,2019-01-21,4,0,2019-01
243220,2019-01-28,5,10,2019-01
243220,2019-02-04,4,0,2019-02
243220,2019-02-11,6,10,2019-02
243220,2019-02-18,7,10,2019-02
243220,2019-02-25,2,0,2019-02
243220,2019-03-11,3,0,2019-03
243220,2019-03-18,3,0,2019-03
243220,2019-03-25,3,0,2019-03
243220,2019-04-01,3,0,2019-04
243220,2019-04-08,3,0,2019-04
243220,2019-04-15,3,0,2019-04
243220,2019-04-22,4,0,2019-04
243246,2019-03-25,1,0,2019-03
243273,2018-12-31,6,10,2018-12
243273,2019-01-07,6,10,2019-01
243273,2019-01-14,2,0,2019-01
243273,2019-01-21,1,0,2019-01
243273,2019-02-04,7,10,2019-02
243273,2019-02-11,7,10,2019-02
243273,2019-02-18,7,10,2019-02
243273,2019-02-25,2,0,2019-02
243298,2018-12-31,5,10,2018-12
243298,2019-01-07,6,10,2019-01
243298,2019-01-14,6,10,2019-01
243298,2019-01-21,5,10,2019-01
243298,2019-01-28,5,10,2019-01
243298,2019-02-04,6,10,2019-02
243298,2019-02-11,7,10,2019-02
243298,2019-02-18,7,10,2019-02
243298,2019-02-25,1,0,2019-02
243312,2019-01-21,1,0,2019-01
243312,2019-01-28,3,0,2019-01
243312,2019-02-04,2,0,2019-02
243312,2019-02-11,1,0,2019-02
243312,2019-02-18,7,10,2019-02
243312,2019-02-25,2,0,2019-02
243312,2019-03-11,3,0,2019-03
243312,2019-03-18,3,0,2019-03
243312,2019-03-25,3,0,2019-03
243312,2019-04-01,3,0,2019-04
243312,2019-04-08,3,0,2019-04
243312,2019-04-15,3,0,2019-04
243312,2019-04-22,4,0,2019-04
243326,2018-12-31,6,10,2018-12
243326,2019-01-07,7,10,2019-01
243326,2019-01-14,7,10,2019-01
243326,2019-01-21,6,10,2019-01
243326,2019-01-28,1,0,2019-01
243326,2019-02-11,4,0,2019-02
243326,2019-02-18,4,0,2019-02
243326,2019-02-25,1,0,2019-02
243326,2019-03-04,2,0,2019-03
243326,2019-03-11,4,0,2019-03
243326,2019-03-18,4,0,2019-03
243326,2019-03-25,5,10,2019-03
243326,2019-04-01,3,0,2019-04
243351,2018-12-31,6,10,2018-12
243351,2019-01-07,7,10,2019-01
243351,2019-01-14,7,10,2019-01
243351,2019-01-21,6,10,2019-01
243351,2019-01-28,4,0,2019-01
243351,2019-02-04,4,0,2019-02
243351,2019-02-11,7,10,2019-02
243351,2019-02-18,6,10,2019-02
243351,2019-02-25,5,10,2019-02
